mode,task_index,score,score,checklist_quality,checklist_quality,source_evidence_recall,source_evidence_recall,domain_rule_recall,domain_rule_recall,evidence_recall,evidence_recall,continuity_recall,continuity_recall,token_efficiency,token_efficiency,latency_efficiency,latency_efficiency,memory_recall,memory_recall,memory_precision,memory_precision,memory_usage_rate,memory_usage_rate,continuity_per_memory_token,continuity_per_memory_token,contradiction_penalty,contradiction_penalty,prompt_tokens,prompt_tokens,latency_seconds,latency_seconds
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
cag,1,0.0,0.0,85.71428571428571,14.285714285714286,86.66666666666667,11.547005383792513,66.66666666666667,57.735026918962575,76.66666666666667,32.145502536643185,,,90.02222222222223,0.0,80.56261212737472,2.4105255694249794,,,,,,,,,0.0,0.0,449.0,0.0,17.49364908536275,2.1694730124824755
cag,2,58.9625843478006,5.739448071031317,50.0,0.0,25.0,0.0,25.0,0.0,25.0,0.0,85.71428571428571,14.285714285714286,89.11111111111113,0.0,78.57589509752061,3.944043181764897,100.0,0.0,87.5,0.0,87.5,12.5,1.8181818181818177,0.0,0.0,0.0,490.0,0.0,19.281694412231445,3.5496388635884006
cag,3,84.77780180115674,13.030916079032929,80.95238095238095,16.49572197684645,73.33333333333333,23.094010767585033,73.33333333333333,23.094010767585033,73.33333333333333,23.094010767585033,95.23809523809524,8.247860988423223,88.82222222222224,0.0,67.0531959886904,9.659339685332421,100.0,0.0,58.333333333333336,0.0,80.55555555555556,20.971762320196525,1.052631578947368,0.0,0.0,0.0,503.0,0.0,29.65212361017863,8.693405716799179
cag,4,50.86572041840023,3.6307263677721213,38.888888888888886,9.622504486493765,11.111111111111109,19.245008972987524,11.111111111111109,19.245008972987524,11.111111111111109,19.245008972987524,83.33333333333333,28.867513459481287,87.84444444444445,0.0,76.5053751733568,4.232842189219934,100.0,0.0,50.0,0.0,70.83333333333333,7.21687836487032,0.662251655629139,0.0,0.0,0.0,547.0,0.0,21.145162343978882,3.8095579702979347
cag,5,34.512279240835284,5.3102203356825886,23.809523809523807,8.247860988423225,0.0,0.0,0.0,0.0,0.0,0.0,61.904761904761905,8.247860988423223,86.64444444444445,0.0,78.8691939247979,2.3643322119284886,100.0,0.0,36.84210526315789,0.0,61.40350877192983,8.03960648237867,0.5291005291005291,0.0,0.0,0.0,601.0,0.0,19.01772546768188,2.127898990735638
cag,6,78.24874725764369,10.550909632442472,66.66666666666667,8.247860988423236,100.0,0.0,66.66666666666667,33.33333333333334,83.33333333333333,16.66666666666667,84.84848484848486,13.886593015017691,85.02222222222223,0.0,79.24644293608488,5.307842316239251,100.0,0.0,45.833333333333336,0.0,72.22222222222223,12.72937693043289,0.43859649122807,0.0,5.0,8.660254037844387,674.0,0.0,18.6782013575236,4.777058084615329
cag,7,79.32976696777344,7.822769338250511,87.5,0.0,88.8888888888889,9.622504486493758,88.8888888888889,9.622504486493758,88.8888888888889,9.622504486493758,66.66666666666667,13.886593015017707,84.46666666666667,0.0,73.51003011067708,10.832915816540552,100.0,0.0,36.66666666666666,0.0,53.333333333333336,13.333333333333329,0.36363636363636304,0.0,0.0,0.0,699.0,0.0,23.840972900390625,9.749624234886493
cag,8,39.81074795690668,13.609249334522445,44.444444444444436,9.622504486493765,16.666666666666668,14.433756729740644,16.666666666666668,14.433756729740644,16.666666666666668,14.433756729740644,47.61904761904762,17.97579627445417,83.51111111111112,0.0,81.6906687065407,4.137542393191964,100.0,0.0,38.88888888888889,0.0,32.40740740740741,6.990587440065512,0.316455696202531,0.0,0.0,0.0,742.0,0.0,16.47839816411336,3.7237881538727606
cag,9,36.01483722383004,1.3639731763016958,22.222222222222218,9.622504486493762,33.33333333333333,0.0,33.33333333333333,0.0,33.33333333333333,0.0,47.22222222222223,4.811252243246879,83.08888888888889,0.0,73.95038904967132,1.8875838825380553,100.0,0.0,30.76923076923077,0.0,25.64102564102564,7.69230769230769,0.276243093922651,0.0,0.0,0.0,761.0,0.0,23.44464985529582,1.6988254942842542
