trial,mode,task_id,task_index,task_title,score,checklist_quality,source_evidence_recall,domain_rule_recall,evidence_recall,continuity_recall,token_efficiency,latency_efficiency,contradiction_penalty,checklist_hit_count,checklist_total,source_evidence_hit_count,source_evidence_total,domain_rule_hit_count,domain_rule_total,evidence_hit_count,evidence_total,continuity_hit_count,continuity_total,contradiction_hit_count,prompt_tokens,latency_seconds,memory_items_used,retrieved_sources,memory_task_ids_used,error
1,rag,T01,1,Define product foundation,99.77474035570357,100.0,100.0,100.0,100.0,100.0,90.71111111111111,86.76292445924547,0,7,7,5,5,1,1,6,6,0,0,0,418,11.913367986679077,0,"['01_product_principles', '07_content', '02_behavior_science']",[],
1,dag,T01,1,Define product foundation,68.41396282064346,57.14285714285714,60.0,0.0,30.0,100.0,90.04444444444445,88.49469476275974,0,4,7,3,5,0,1,3,6,0,0,0,448,10.354774713516235,0,"['01_product_principles', '07_content', '02_behavior_science']",[],
1,cag,T01,1,Define product foundation,99.77236449474759,100.0,100.0,100.0,100.0,100.0,90.02222222222223,87.21422725253635,0,7,7,5,5,1,1,6,6,0,0,0,449,11.507195472717285,0,"['01_product_principles', '07_content', '02_behavior_science']",[],
1,rag,T02,2,Create domain model,30.566810952565024,33.33333333333333,25.0,25.0,25.0,28.57142857142857,90.82222222222222,89.66839684380426,0,2,6,1,4,1,4,2,8,2,7,0,413,9.298442840576172,0,"['01_product_principles', '07_content', '04_session_workflows']",[],
1,dag,T02,2,Create domain model,36.21379216054886,33.33333333333333,25.0,25.0,25.0,42.857142857142854,90.15555555555555,83.60461288028293,0,2,6,1,4,1,4,2,8,3,7,0,443,14.755848407745361,0,"['01_product_principles', '07_content', '04_session_workflows']",[],
1,cag,T02,2,Create domain model,36.20595218476795,33.33333333333333,25.0,25.0,25.0,42.857142857142854,89.11111111111111,83.86505974663628,0,2,6,1,4,1,4,2,8,3,7,0,490,14.521446228027344,1,"['01_product_principles', '07_content', '04_session_workflows']",['T01'],
1,rag,T03,3,Define local persistence,17.166500571190365,14.285714285714285,20.0,20.0,20.0,14.285714285714285,91.44444444444444,88.0627555317349,0,1,7,1,5,1,5,2,10,1,7,0,385,10.743520021438599,0,"['03_local_data', '06_testing', '01_product_principles']",[],
1,dag,T03,3,Define local persistence,61.41780923835815,71.42857142857143,100.0,100.0,100.0,28.57142857142857,90.77777777777779,79.57457462946573,0,5,7,5,5,5,5,10,10,2,7,0,415,18.382882833480835,0,"['03_local_data', '06_testing', '01_product_principles']",[],
1,cag,T03,3,Define local persistence,90.02541321244315,85.71428571428571,80.0,80.0,80.0,100.0,88.82222222222222,79.43338473637898,0,6,7,4,5,4,5,8,10,7,7,0,503,18.50995373725891,2,"['03_local_data', '06_testing', '01_product_principles']","['T02', 'T01']",
1,rag,T04,4,Set privacy and auth boundaries,23.173058915350172,33.33333333333333,0.0,0.0,0.0,25.0,91.68888888888888,92.283669312795,0,2,6,0,3,0,3,0,6,2,8,0,374,6.944697618484497,0,"['06_testing', '01_product_principles', '03_local_data']",[],
