mode,task_index,score,score,checklist_quality,checklist_quality,source_evidence_recall,source_evidence_recall,domain_rule_recall,domain_rule_recall,evidence_recall,evidence_recall,continuity_recall,continuity_recall,token_efficiency,token_efficiency,latency_efficiency,latency_efficiency,contradiction_penalty,contradiction_penalty,prompt_tokens,prompt_tokens,latency_seconds,latency_seconds
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
cag,1,88.10743859895071,11.042823255911328,83.33333333333333,14.045601146431075,83.33333333333333,15.05545305418162,66.66666666666667,51.63977794943222,75.0,28.106938645110393,100.0,0.0,90.02222222222223,0.0,87.38830433951485,1.437611981980389,0.0,0.0,449.0,0.0,11.350526094436646,1.2938507837823503
cag,2,33.335283438528656,4.7860758711532485,33.33333333333333,0.0,25.0,0.0,25.0,0.0,25.0,0.0,35.714285714285715,11.952286093343934,89.11111111111113,0.0,82.51247083699262,3.7876085196773386,0.0,0.0,490.0,0.0,15.738776246706644,3.4088476677096025
cag,3,92.41227053573648,4.420193567936892,97.6190476190476,5.832118435198042,96.66666666666667,8.16496580927726,96.66666666666667,8.16496580927726,96.66666666666667,8.16496580927726,85.71428571428571,12.777531299998799,88.82222222222224,0.0,84.78578373237893,3.6919660079017507,0.0,0.0,503.0,0.0,13.692794640858969,3.3227694071115748
cag,4,58.22893323961893,7.93625852731968,41.666666666666664,9.128709291752772,16.666666666666664,18.257418583505537,16.666666666666664,18.257418583505537,16.666666666666664,18.257418583505537,95.83333333333333,6.454972243679028,87.84444444444445,0.0,85.04887951744928,2.3398279653273706,0.0,0.0,547.0,0.0,13.456008434295654,2.1058451687946382
cag,5,40.978930398121086,5.623367343573274,28.57142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.80952380952381,14.045601146431075,86.64444444444445,0.0,87.43907155813996,1.8007009356816588,0.0,0.0,601.0,0.0,11.304835597674051,1.620630842113492
cag,6,65.04879100939102,13.186123230512104,54.76190476190476,14.045601146431078,33.333333333333336,51.63977794943222,66.66666666666666,21.0818510677892,50.0,27.88866755113585,81.81818181818181,15.212000482437738,85.02222222222223,0.0,85.22484408484566,2.3549234187845975,2.5,6.123724356957945,674.0,0.0,13.297640323638916,2.1194310769061344
cag,7,85.31715121350626,5.577983444630921,93.75,6.846531968814578,94.44444444444446,8.606629658238697,94.44444444444446,8.606629658238697,94.44444444444446,8.606629658238697,72.72727272727273,12.856486930664506,84.46666666666667,0.0,83.99087892638313,2.674116623800417,0.0,0.0,699.0,0.0,14.408208966255188,2.406704961420374
cag,8,41.89109325231573,17.454074407681194,50.0,14.907119849998596,33.333333333333336,30.276503540974915,33.333333333333336,30.276503540974915,33.333333333333336,30.276503540974915,38.095238095238095,17.880936529065323,83.51111111111112,0.0,81.78869031093738,11.864325821445108,0.0,0.0,742.0,0.0,16.390178720156353,10.6778932393006
cag,9,42.352602026515534,9.316598389298369,16.666666666666664,0.0,27.77777777777777,13.608276348795432,27.77777777777777,13.608276348795432,27.77777777777777,13.608276348795432,70.83333333333333,15.59023911155809,83.08888888888889,0.0,85.50464709599812,0.9525152841383547,0.0,0.0,761.0,0.0,13.045817613601685,0.8572637557245182
cag,10,64.18256950816402,13.076076780687858,58.333333333333336,9.128709291752763,66.66666666666667,29.8142396999972,66.66666666666667,29.8142396999972,66.66666666666667,29.8142396999972,66.66666666666667,10.753895038701154,81.75555555555556,0.0,86.50139526084617,2.735678463639318,0.0,0.0,821.0,0.0,12.148744265238443,2.46211061727539
cag,11,58.51320997688506,14.153992216068026,30.555555555555554,6.804138174397716,77.77777777777777,27.216552697590867,77.77777777777777,27.216552697590867,77.77777777777777,27.216552697590867,69.44444444444444,16.386534670836248,80.77777777777779,0.0,87.20988657739427,0.4060046247035275,0.0,0.0,865.0,0.0,11.511102080345154,0.365404162233173
cag,12,22.912353201195046,5.539658427722111,22.222222222222218,13.608276348795433,0.0,0.0,0.0,0.0,0.0,0.0,34.375,7.654655446197432,79.62222222222222,0.0,81.0575423417268,3.2895732901612043,0.0,0.0,917.0,0.0,17.04821189244588,2.960615961145082
cag,13,79.69588457405386,6.125089998041505,94.44444444444444,13.608276348795439,100.0,0.0,100.0,0.0,100.0,0.0,54.90196078431373,8.856148855400956,78.17777777777778,0.0,84.22113714394747,2.5581944766223725,2.5,6.123724356957945,982.0,0.0,14.200976570447287,2.3023750289601383
