mode,task_index,score,score,checklist_quality,checklist_quality,source_evidence_recall,source_evidence_recall,domain_rule_recall,domain_rule_recall,evidence_recall,evidence_recall,continuity_recall,continuity_recall,token_efficiency,token_efficiency,latency_efficiency,latency_efficiency,memory_recall,memory_recall,memory_precision,memory_precision,memory_usage_rate,memory_usage_rate,continuity_per_memory_token,continuity_per_memory_token,contradiction_penalty,contradiction_penalty,prompt_tokens,prompt_tokens,latency_seconds,latency_seconds
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
cag,1,0.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,,,90.02222222222223,0.0,80.11050047697843,3.3124241763798876,,,,,,,,,0.0,0.0,449.0,0.0,17.900549570719402,2.9811817587419074
cag,2,58.98538018658047,5.6700159725696295,50.0,0.0,25.0,0.0,25.0,0.0,25.0,0.0,85.71428571428571,14.285714285714286,89.11111111111113,0.0,80.85547897550795,5.23294730470957,100.0,0.0,87.5,0.0,87.5,12.5,1.8181818181818177,0.0,0.0,0.0,490.0,0.0,17.230068922042847,4.709652574238611
cag,3,81.61415569983588,14.466701547975326,76.19047619047619,16.495721976846454,66.66666666666667,23.09401076758503,66.66666666666667,23.09401076758503,66.66666666666667,23.09401076758503,95.23809523809524,8.247860988423223,88.82222222222224,0.0,72.5933477613661,5.426515609212853,100.0,0.0,58.333333333333336,0.0,91.66666666666667,14.433756729740644,1.052631578947368,0.0,0.0,0.0,503.0,0.0,24.665987014770508,4.8838640482915725
cag,4,54.2226441151301,11.931958265954256,38.888888888888886,9.622504486493765,11.111111111111109,19.245008972987524,11.111111111111109,19.245008972987524,11.111111111111109,19.245008972987524,91.66666666666667,14.433756729740644,87.84444444444445,0.0,78.86441151301067,7.060525082903691,100.0,0.0,50.0,0.0,77.08333333333333,9.547032697824667,0.662251655629139,0.0,0.0,0.0,547.0,0.0,19.022029638290405,6.3544725746133235
cag,5,34.52357403845005,5.2841485797577,23.809523809523807,8.247860988423225,0.0,0.0,0.0,0.0,0.0,0.0,61.904761904761905,8.247860988423227,86.64444444444445,0.0,79.99867368627478,3.29636209073608,100.0,0.0,36.84210526315789,0.0,68.42105263157895,5.263157894736838,0.5291005291005291,0.0,0.0,0.0,601.0,0.0,18.001193682352703,2.9667258816624718
cag,6,73.97929919781485,8.084912277069886,61.904761904761905,8.24786098842323,100.0,0.0,44.444444444444436,19.245008972987524,72.22222222222221,9.622504486493764,84.84848484848486,10.497277621629559,85.02222222222223,0.0,80.87306552463109,1.6526574373656122,100.0,0.0,45.833333333333336,0.0,77.77777777777779,9.622504486493773,0.43859649122807,0.0,0.0,0.0,674.0,0.0,17.21424102783203,1.4873916936290492
cag,7,76.10034743548565,14.901707131861341,75.0,25.0,77.77777777777779,25.45875386086578,77.77777777777779,25.45875386086578,77.77777777777779,25.45875386086578,75.75757575757576,5.248638810814781,84.46666666666667,0.0,78.5983799121998,4.122885011759853,100.0,0.0,36.66666666666666,0.0,62.22222222222221,5.091750772173156,0.36363636363636304,0.0,0.0,0.0,699.0,0.0,19.261458079020183,3.710596510583875
cag,8,37.761223794977504,1.746630397619545,38.888888888888886,9.622504486493765,8.333333333333334,14.433756729740644,8.333333333333334,14.433756729740644,8.333333333333334,14.433756729740644,52.38095238095238,14.869042853329518,83.51111111111112,0.0,75.15095092632153,8.89130519728049,100.0,0.0,38.88888888888889,0.0,34.25925925925926,4.243125643477631,0.316455696202531,0.0,0.0,0.0,742.0,0.0,22.364144166310627,8.002174677552443
cag,9,31.611404166716113,6.15701704570023,22.222222222222218,9.622504486493762,33.33333333333333,0.0,33.33333333333333,0.0,33.33333333333333,0.0,36.111111111111114,9.622504486493765,83.08888888888889,0.0,78.05152778272276,6.271905658719102,100.0,0.0,30.76923076923077,0.0,26.49572649572649,6.4528499446758545,0.276243093922651,0.0,0.0,0.0,761.0,0.0,19.75362499554952,5.6447150928471865
