mode,task_index,score,score,checklist_quality,checklist_quality,source_evidence_recall,source_evidence_recall,domain_rule_recall,domain_rule_recall,evidence_recall,evidence_recall,continuity_recall,continuity_recall,token_efficiency,token_efficiency,latency_efficiency,latency_efficiency,memory_recall,memory_recall,memory_precision,memory_precision,continuity_per_memory_token,continuity_per_memory_token,contradiction_penalty,contradiction_penalty,prompt_tokens,prompt_tokens,latency_seconds,latency_seconds
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
cag,1,0.0,0.0,95.23809523809524,8.24786098842323,100.0,0.0,66.66666666666667,57.735026918962575,83.33333333333333,28.867513459481287,,,90.02222222222223,0.0,82.18820545408461,0.3600969593604758,,,,,,,0.0,0.0,449.0,0.0,16.030615091323853,0.324087263424431
cag,2,55.16382544088615,6.589315683209419,50.0,0.0,25.0,0.0,25.0,0.0,25.0,0.0,76.19047619047619,16.495721976846454,89.11111111111113,0.0,79.65238535845721,1.0454542178115078,100.0,0.0,87.5,0.0,1.8181818181818177,0.0,0.0,0.0,490.0,0.0,18.312853177388508,0.9409087960303626
cag,3,96.38889390803645,5.4909330753624,95.23809523809524,8.24786098842323,93.33333333333333,11.547005383792513,93.33333333333333,11.547005383792513,93.33333333333333,11.547005383792513,100.0,0.0,88.82222222222224,0.0,71.97193048618459,14.14187722510277,100.0,0.0,58.333333333333336,0.0,1.052631578947368,0.0,0.0,0.0,503.0,0.0,25.22526256243388,12.727689502592494
cag,4,51.32388373544481,2.874430313389576,33.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.83333333333333,7.216878364870324,87.84444444444445,0.0,77.87726243336995,3.1116536155701464,100.0,0.0,50.0,0.0,0.662251655629139,0.0,0.0,0.0,547.0,0.0,19.91046380996704,2.800488254013133
cag,5,32.909055008121264,15.993470822546717,19.047619047619047,8.247860988423223,0.0,0.0,0.0,0.0,0.0,0.0,61.9047619047619,32.99144395369291,86.64444444444445,0.0,80.45153255815859,1.6936334499241399,100.0,0.0,36.84210526315789,0.0,0.5291005291005291,0.0,0.0,0.0,601.0,0.0,17.59362069765727,1.5242701049317253
cag,6,63.54705535202064,21.096577893179973,47.61904761904761,21.82178902359924,33.333333333333336,57.735026918962575,44.444444444444436,38.49001794597505,38.888888888888886,41.94352464039305,90.90909090909092,9.09090909090909,85.02222222222223,0.0,80.9387242352521,2.500518698862199,100.0,0.0,45.833333333333336,0.0,0.43859649122807,0.0,0.0,0.0,674.0,0.0,17.155148188273113,2.2504668289759815
cag,7,81.90623863743933,2.804767051149574,87.5,12.5,94.44444444444446,9.622504486493755,94.44444444444446,9.622504486493755,94.44444444444446,9.622504486493755,69.6969696969697,10.497277621629564,84.46666666666667,0.0,76.61174253181174,5.675533378041436,100.0,0.0,36.66666666666666,0.0,0.36363636363636304,0.0,0.0,0.0,699.0,0.0,21.049431721369427,5.107980040237296
cag,8,38.75082981100032,10.40238351192714,38.888888888888886,9.622504486493765,8.333333333333334,14.433756729740644,8.333333333333334,14.433756729740644,8.333333333333334,14.433756729740644,54.76190476190476,10.910894511799626,83.51111111111112,0.0,78.87345729050813,4.084411351120989,100.0,0.0,38.88888888888889,0.0,0.316455696202531,0.0,0.0,0.0,742.0,0.0,19.013888438542683,3.67597021600889
cag,9,34.945125482135346,5.134964303073793,22.222222222222218,9.622504486493762,33.33333333333333,0.0,33.33333333333333,0.0,33.33333333333333,0.0,44.44444444444445,4.811252243246879,83.08888888888889,0.0,78.09032599131267,6.118971198126828,100.0,0.0,30.76923076923077,0.0,0.276243093922651,0.0,0.0,0.0,761.0,0.0,19.718706607818604,5.507074078314142
cag,10,32.73497769400178,4.629320805157991,33.33333333333333,0.0,11.111111111111109,19.245008972987524,11.111111111111109,19.245008972987524,11.111111111111109,19.245008972987524,42.857142857142854,0.0,81.75555555555556,0.0,77.45649955890796,3.3565303599090157,100.0,0.0,34.14634146341464,0.0,0.246305418719211,0.0,0.0,0.0,821.0,0.0,20.28915039698283,3.02087732391812
cag,11,68.00432469173712,5.129152026640076,33.33333333333333,0.0,100.0,0.0,100.0,0.0,100.0,0.0,77.77777777777777,12.729376930432888,80.77777777777779,0.0,75.21024695149174,4.320576332174808,100.0,0.0,28.57142857142857,0.0,0.219780219780219,0.0,0.0,0.0,865.0,0.0,22.31077774365743,3.8885186989573355
cag,12,37.07770334784189,3.8329234899995135,33.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.416666666666664,9.547032697824665,79.62222222222222,0.0,78.14811256196764,1.599639386407725,100.0,0.0,35.55555555555556,0.0,0.203252032520325,0.0,0.0,0.0,917.0,0.0,19.666698694229126,1.4396754477669507
cag,13,71.70799929962907,11.978687963422923,72.22222222222221,25.458753860865777,88.88888888888887,19.24500897298753,88.88888888888887,19.24500897298753,88.88888888888887,19.24500897298753,60.78431372549019,12.24509411450667,78.17777777777778,0.0,72.36071427663167,5.793180173526386,100.0,0.0,35.41666666666667,0.0,0.184162062615101,0.0,0.0,0.0,982.0,0.0,24.875357151031494,5.213862156173744
cag,14,59.297510846009175,5.909856773497607,50.0,0.0,75.0,25.0,75.0,25.0,75.0,25.0,56.86274509803922,8.985442539129098,77.88888888888889,0.0,77.35239179046066,2.837131929212153,100.0,0.0,33.33333333333333,0.0,0.167224080267558,0.0,0.0,0.0,995.0,0.0,20.382847388585407,2.553418736290933
cag,15,57.876176821293136,4.6356035742261055,37.5,0.0,44.444444444444436,19.245008972987524,44.444444444444436,19.245008972987524,44.444444444444436,19.245008972987524,82.35294117647058,0.0,76.2,0.0,75.63336840382328,2.287165541150391,100.0,0.0,32.075471698113205,0.0,0.153374233128834,0.0,0.0,0.0,1071.0,0.0,21.92996843655904,2.058448987035353
cag,16,68.93361442554311,5.205611946968775,66.66666666666666,0.0,100.0,0.0,66.66666666666667,28.867513459481287,83.33333333333333,14.433756729740647,61.904761904761905,4.761904761904758,75.35555555555555,0.0,75.14874414161399,1.3061960402495678,100.0,0.0,36.206896551724135,0.0,0.144092219020172,0.0,5.0,8.660254037844387,1109.0,0.0,22.366130272547405,1.1755764362246133
cag,17,65.41916023406277,13.953213353289916,55.555555555555564,25.458753860865784,91.66666666666667,14.433756729740647,91.66666666666667,14.433756729740647,91.66666666666667,14.433756729740647,57.40740740740741,8.486251286955254,76.62222222222222,0.0,80.10861599886859,1.598305449615357,100.0,0.0,30.508474576271187,0.0,0.133511348464619,0.0,0.0,0.0,1052.0,0.0,17.90224560101827,1.4384749046538228
cag,18,26.75933570396218,2.892838019288718,22.222222222222218,9.622504486493762,11.111111111111109,19.245008972987524,0.0,0.0,5.5555555555555545,9.622504486493762,40.909090909090914,0.0,72.22222222222221,0.0,78.45882292147036,2.625551060557383,100.0,0.0,36.66666666666666,0.0,0.124069478908188,0.0,0.0,0.0,1250.0,0.0,19.387059370676678,2.3629959545016392
cag,19,63.50312727645592,3.4577632136212215,66.66666666666666,0.0,83.33333333333333,14.433756729740644,83.33333333333333,14.433756729740644,83.33333333333333,14.433756729740644,48.611111111111114,16.839382851364086,72.22222222222221,0.0,66.97939431225812,18.664590784912853,100.0,0.0,39.34426229508197,0.0,0.117508813160987,0.0,5.0,8.660254037844387,1250.0,0.0,29.718545118967693,16.798131706421575
cag,20,58.61360757142982,3.8498067621056147,55.55555555555555,11.111111111111109,75.0,0.0,100.0,0.0,87.5,0.0,43.01075268817204,8.11810154330188,74.44444444444444,0.0,77.59731628276683,3.194863688899231,100.0,0.0,49.206349206349195,0.0,0.110864745011086,0.0,0.0,0.0,1150.0,0.0,20.162415345509846,2.875377320009311
cag,21,49.54643647981573,6.419755383770616,37.5,0.0,0.0,0.0,83.33333333333333,28.867513459481287,41.666666666666664,14.433756729740644,63.333333333333336,7.637626158259732,71.06666666666666,0.0,75.24364798157303,1.105561439750399,100.0,0.0,31.25,0.0,0.10438413361169101,0.0,0.0,0.0,1302.0,0.0,22.28071681658427,0.9950052957753569
